strategy,R,P_max,loop_rate,ci_lo,ci_hi,n
lt_risk_only,3,45,0.3,0.2533,0.36,150
lt_risk_only,3,60,0.3,0.2533,0.36,150
lt_risk_only,3,90,0.3,0.2533,0.36,150
lt_risk_only,3,120,0.3,0.2533,0.36,150
lt_risk_only,4,30,0.0733,0.04,0.1067,150
lt_risk_only,4,45,0.0733,0.04,0.1067,150
lt_risk_only,4,60,0.0733,0.04,0.1067,150
lt_risk_only,4,90,0.0733,0.04,0.1067,150
lt_risk_only,4,120,0.0733,0.04,0.1067,150
lt_risk_only,5,30,0.0267,0.0067,0.0467,150
lt_risk_only,5,45,0.0267,0.0067,0.0467,150
lt_risk_only,5,60,0.0267,0.0067,0.0467,150
lt_risk_only,5,90,0.0267,0.0067,0.0467,150
lt_risk_only,5,120,0.0267,0.0067,0.0467,150
lt_risk_only,6,30,0.0067,0.0,0.02,150
lt_risk_only,6,45,0.0067,0.0,0.02,150
lt_risk_only,6,60,0.0067,0.0,0.02,150
lt_risk_only,6,90,0.0067,0.0,0.02,150
lt_risk_only,6,120,0.0067,0.0,0.02,150
lt_risk_only,7,30,0.0,0.0,0.0,150
lt_risk_only,7,45,0.0,0.0,0.0,150
lt_risk_only,7,60,0.0,0.0,0.0,150
lt_risk_only,7,90,0.0,0.0,0.0,150
lt_risk_only,7,120,0.0,0.0,0.0,150
lt_adaptive,3,30,0.1333,0.0867,0.1867,150
lt_adaptive,3,45,0.1333,0.0867,0.1867,150
lt_adaptive,3,60,0.1333,0.0867,0.1867,150
lt_adaptive,3,90,0.1333,0.0867,0.1867,150
lt_adaptive,3,120,0.1333,0.0867,0.1867,150
lt_adaptive,4,30,0.0133,0.0,0.0333,150
lt_adaptive,4,45,0.0133,0.0,0.0333,150
lt_adaptive,4,60,0.0133,0.0,0.0333,150
lt_adaptive,4,90,0.0133,0.0,0.0333,150
lt_adaptive,4,120,0.0133,0.0,0.0333,150
lt_adaptive,5,30,0.0,0.0,0.0,150
lt_adaptive,5,45,0.0,0.0,0.0,150
lt_adaptive,5,60,0.0,0.0,0.0,150
lt_adaptive,5,90,0.0,0.0,0.0,150
lt_adaptive,5,120,0.0,0.0,0.0,150
lt_adaptive,6,30,0.0,0.0,0.0,150
